Time (CET),Team 1,Team 2,Score,date,link,season
12:00 AM,Aris BC,Olympiacos,66 - 78,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10953/aris-bc-olympiacos-2002-10-26,2002
12:00 AM,Panionios,PAOK,70 - 87,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10961/panionios-paok-2002-10-26,2002
12:00 AM,Panathinaikos,Olympia Larissa,105 - 79,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10955/panathinaikos-olympia-larissa-2002-10-26,2002
12:00 AM,AEK Athens,Peristeri,61 - 52,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10959/aek-athens-peristeri-2002-10-26,2002
12:00 AM,Makedonikos,Marousi,93 - 85,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10963/makedonikos-marousi-2002-10-26,2002
12:00 AM,Iraklis,Near-East,89 - 78,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10965/iraklis-near-east-2002-10-26,2002
12:00 AM,Ionikos Lamias,OFI Iraklio,98 - 81,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10957/ionikos-lamias-ofi-iraklio-2002-10-26,2002
12:00 AM,OFI Iraklio,Panathinaikos,87 - 89,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10969/ofi-iraklio-panathinaikos-2002-11-02,2002
12:00 AM,Peristeri,Ionikos Lamias,81 - 90,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10971/peristeri-ionikos-lamias-2002-11-02,2002
12:00 AM,PAOK,AEK Athens,68 - 78,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10973/paok-aek-athens-2002-11-02,2002
12:00 AM,Olympiacos,Iraklis,66 - 74,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10979/olympiacos-iraklis-2002-11-02,2002
12:00 AM,Marousi,Panionios,87 - 79,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10975/marousi-panionios-2002-11-02,2002
12:00 AM,Near-East,Makedonikos,82 - 84,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10977/near-east-makedonikos-2002-11-02,2002
12:00 AM,Olympia Larissa,Aris BC,80 - 82,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10967/olympia-larissa-aris-bc-2002-11-02,2002
